"correct","format","problem","response","response_time","size","subject_nr","truth"
"1","digit","8 + 6 = 18","l","1478","large","123","F"
"1","word","nine + six = fifteen","a","2864","large","123","T"
"1","digit","5 + 3 = 4","l","1380","small","123","F"
"1","digit","4 + 9 = 13","a","1103","large","123","T"
"1","word","five + two = four","l","1457","small","123","F"
"1","digit","2 + 7 = 9","a","859","small","123","T"
"1","digit","6 + 4 = 10","a","710","small","123","T"
"1","digit","3 + 8 = 10","l","746","small","123","F"
"1","digit","2 + 5 = 11","l","1123","small","123","F"
"1","word","eight + seven = fifteen","a","1913","large","123","T"
"1","digit","5 + 8 = 13","a","1365","large","123","T"
"1","digit","7 + 8 = 15","a","3230","large","123","T"
"1","word","seven + three = fourteen","l","1377","small","123","F"
"1","digit","6 + 2 = 5","l","987","small","123","F"
"1","word","two + four = six","a","2414","small","123","T"
"1","word","five + five = eight","l","1026","small","123","F"
"1","word","five + three = eight","a","1172","small","123","T"
"1","word","eight + nine = sixteen","l","2955","large","123","F"
"1","word","six + six = nine","l","1259","large","123","F"
"1","digit","5 + 7 = 12","a","2187","large","123","T"
"1","digit","2 + 8 = 10","a","819","small","123","T"
"1","word","two + six = five","l","2004","small","123","F"
"1","word","three + eight = twelve","l","5144","small","123","F"
"1","digit","7 + 3 = 12","l","870","small","123","F"
"1","digit","4 + 2 = 6","a","1003","small","123","T"
"1","word","six + four = nine","l","1622","small","123","F"
"1","digit","3 + 4 = 7","a","803","small","123","T"
"1","word","four + nine = thirteen","a","2263","large","123","T"
"1","word","three + four = six","l","1640","small","123","F"
"1","digit","9 + 8 = 15","l","1300","large","123","F"
"1","word","four + four = eight","a","950","small","123","T"
"1","word","six + eight = fourteen","a","3076","large","123","T"
"1","word","three + nine = twelve","a","2087","large","123","T"
"0","digit","6 + 7 = 13","l","889","large","123","T"
"1","word","eight + eight = eighteen","l","1784","large","123","F"
"1","digit","9 + 5 = 16","l","1335","large","123","F"
"1","digit","6 + 5 = 14","l","1043","large","123","F"
"1","word","two + two = four","a","936","small","123","T"
"1","word","seven + four = twelve","l","3095","large","123","F"
"1","digit","9 + 6 = 11","l","913","large","123","F"
"1","word","nine + five = eleven","l","2025","large","123","F"
"1","word","eight + five = seventeen","l","2134","large","123","F"
"1","word","seven + two = nine","a","1667","small","123","T"
"1","word","six + five = ten","l","2052","large","123","F"
"1","word","three + three = six","a","1005","small","123","T"
"1","digit","2 + 3 = 5","a","1005","small","123","T"
"1","word","six + three = nine","a","2029","small","123","T"
"0","word","four + eight = twelve","l","3300","large","123","T"
"1","digit","8 + 8 = 13","l","994","large","123","F"
"1","word","seven + six = thirteen","a","4125","large","123","T"
"1","digit","2 + 9 = 11","a","1103","small","123","T"
"1","word","four + five = thirteen","l","1358","small","123","F"
"1","word","two + nine = eleven","a","2597","small","123","T"
"1","digit","4 + 4 = 9","l","868","small","123","F"
"1","digit","7 + 7 = 14","a","1508","large","123","T"
"1","word","seven + seven = fourteen","a","1718","large","123","T"
"1","digit","3 + 6 = 7","l","1157","small","123","F"
"1","digit","4 + 8 = 11","l","1763","large","123","F"
"1","digit","5 + 5 = 8","l","738","small","123","F"
"1","word","seven + nine = sixteen","a","3026","large","123","T"
